Edge TPU Compiler version 16.0.384591198
Input: /content/drive/MyDrive/training_demo/pre-trained-models/centernet_mobilenetv2_fpn_od/model.tflite
Output: /content/drive/MyDrive/training_demo/tflite-models/model_edgetpu.tflite

Operator                       Count      Status

MINIMUM                        1          Operation is working on an unsupported data type
DEPTHWISE_CONV_2D              23         Operation is working on an unsupported data type
CAST                           6          Operation is working on an unsupported data type
SUB                            7          Operation is working on an unsupported data type
FLOOR_DIV                      2          Operation is working on an unsupported data type
ADD                            17         Operation is working on an unsupported data type
LOGISTIC                       1          Operation is working on an unsupported data type
ABS                            1          Operation is working on an unsupported data type
RELU                           2          Operation is working on an unsupported data type
PACK                           2          Operation is working on an unsupported data type
RESHAPE                        5          Operation is working on an unsupported data type
SUM                            1          Operation is working on an unsupported data type
TOPK_V2                        1          Operation is working on an unsupported data type
RESIZE_NEAREST_NEIGHBOR        3          Operation is working on an unsupported data type
MUL                            9          Operation is working on an unsupported data type
CONV_2D                        48         Operation is working on an unsupported data type
UNPACK                         2          Operation is working on an unsupported data type
GREATER                        1          Operation is working on an unsupported data type
LESS                           1          Operation is working on an unsupported data type
GATHER_ND                      2          Operation is working on an unsupported data type
MAX_POOL_2D                    1          Operation is working on an unsupported data type
